Unnamed: 0,Unnamed: 0.1,English,Spanish
0,0,explain,explicar
1,1,expect,suponer
2,2,fight,lucha
3,3,exactly,exactamente
4,4,sort,clasificar
5,5,completely,completamente
6,6,men,hombres
7,7,dance,baile
8,8,met,reunió
9,9,story,historia
10,10,whatever,lo que
11,11,build,construir
12,12,speak,hablar
13,13,glass,vidrio
14,14,pain,dolor
15,15,check,cheque
16,16,glare,destello
17,17,corner,esquina
18,18,chest,pecho
19,19,hot,caliente
20,20,rather,bastante
21,21,month,mes
22,22,real,verdadero
23,23,touch,tocar
24,24,park,parque
25,25,bring,traer
26,26,they're,ellos son
27,27,drink,beber
28,28,ago,atrás
29,29,force,fuerza
30,30,you've,tienes
31,31,fast,rápido
32,32,lost,perdió
33,33,attention,atención
34,34,wish,deseo
35,35,mark,Marcos
36,36,wave,onda
37,37,shout,gritar
38,38,fill,llenar
39,39,begin,empezar
40,40,baby,bebé
41,41,interest,interesar
42,42,money,dinero
43,43,fun,divertida
44,44,green,verde
45,45,however,sin emabargo
46,46,cheek,mejilla
47,47,mine,mía
48,48,clear,claro
49,49,brown,marrón
50,50,forward,hacia adelante
51,51,near,cerca
52,52,picture,imagen
53,53,may,mayo
54,54,cool,frio
55,55,drive,manejar
56,56,hug,abrazo
57,57,shake,agitar
58,58,sense,sentido
59,59,alright,bien
60,60,you'll,Vas
61,61,dream,sueño
62,62,hang,colgar
63,63,clothes,ropa
64,64,act,actuar
65,65,become,volverse
66,66,manage,gestionar
67,67,meant,quiso decir
68,68,game,juego
69,69,ignore,ignorar
70,70,stair,escalera
71,72,party,fiesta
72,73,add,agregar
73,74,sometimes,algunas veces
74,75,job,trabajo
75,76,ten,diez
76,77,shot,Disparo
77,78,date,fecha
78,79,quiet,tranquilo
79,80,gaze,mirada
80,81,group,grupo
81,82,loud,fuerte
82,83,straight,derecho
83,84,dead,muerto
84,85,neck,cuello
85,86,beside,junto a
86,87,pause,pausa
87,88,number,número
88,89,conversation,conversacion
89,90,chance,oportunidad
90,91,we'll,bien
91,92,rose,Rosa
92,93,quietly,en silencio
93,95,blood,sangre
94,96,color,color
95,97,desk,escritorio
96,98,dinner,cena
97,99,hall,sala
98,100,horse,caballo
99,101,music,música
100,102,brought,trajo
101,103,piece,trozo
102,104,anymore,nunca más
103,105,beautiful,hermosa
104,106,order,pedido
105,107,fire,fuego
106,108,office,oficina
107,109,TRUE,CIERTO
108,110,although,aunque
109,111,warm,cálido
110,112,easy,fácil
111,113,enter,ingresar
112,114,perfect,Perfecto
113,115,mutter,murmurar
114,116,softly,suavemente
115,117,cross,cruzar
116,118,shock,choque
117,119,smirk,sonrisa afectada
118,120,damn,maldita sea
119,121,soft,suave
120,122,stomach,estómago
121,123,snap,quebrar
122,124,spoke,habló
123,125,tire,neumático
124,126,box,caja
125,127,catch,captura
126,128,skin,piel
127,129,teacher,profesor
128,130,middle,medio
129,131,note,Nota
130,132,yourself,tú mismo
131,133,haven't,no tiene
132,134,lunch,comida
133,135,tomorrow,mañana
134,136,breathe,respirar
135,137,clean,limpio
136,138,except,excepto
137,139,appear,aparecer
138,140,lock,cerrar con llave
139,141,knock,golpear
140,142,bathroom,baño
141,143,movie,película
142,144,agree,estar de acuerdo
143,145,offer,oferta
144,146,kick,patear
145,147,form,formulario
146,148,confuse,confundir
147,149,lay,poner
148,150,less,menos
149,151,calm,tranquilo
150,152,slip,deslizar
151,153,weren't,no eran
152,154,sign,firmar
153,155,dog,perro
154,156,lift,elevar
155,157,immediately,inmediatamente
156,158,arrive,llegar
157,159,deal,negociar
158,160,tonight,esta noche
159,161,usually,por lo general
160,162,case,caso
161,163,frown,fruncir el ceño
162,164,shop,tienda
163,165,scare,susto
164,166,promise,promesa
165,167,mum,mamá
166,168,couch,sofá
167,169,pay,pagar
168,170,state,Expresar
169,171,shit,mierda
170,172,wrap,envoltura
171,173,pocket,bolsillo
172,174,hello,Hola
173,175,free,libre
174,176,huge,enorme
175,177,ride,montar
176,178,bother,molestar
177,179,land,tierra
178,180,known,conocido
179,181,especially,especialmente
180,182,expression,expresión
181,183,carry,llevar
182,184,ring,anillo
183,185,spot,lugar
184,186,allow,permitir
185,187,several,varios
186,188,aren't,no son
187,189,during,durante
188,190,empty,vacío
189,191,lady,dama
190,192,eyebrow,ceja
191,193,strange,extraño
192,194,coffee,café
193,195,road,camino
194,196,threw,tiró
195,197,wide,amplio
196,198,bus,autobús
197,199,forget,olvidar
198,200,gotten,conseguido
199,201,smell,oler
200,202,fear,temor
201,203,press,prensa
202,204,boyfriend,novio
203,205,blonde,Rubio
204,206,throw,lanzar
205,207,round,redondo
206,208,sun,sol
207,209,tall,alto
208,210,glad,contento
209,211,age,edad
210,212,write,escribir
211,213,upon,sobre
212,214,hide,esconder
213,215,became,convirtió
214,216,crowd,multitud
215,217,rain,lluvia
216,218,save,ahorrar
217,219,trouble,problema
218,220,annoy,molestar
219,221,nose,nariz
220,222,weird,extraño
221,223,death,muerte
222,224,beat,golpear
223,225,tone,tono
224,226,trip,viaje
225,227,six,seis
226,228,control,control
227,229,nearly,por poco
228,230,consider,considerar
229,231,gonna,ir a
230,232,join,entrar
231,233,learn,aprender
232,234,above,sobre
